Bean Name,Bean Value,Bean Number
Rwanda,2218.41,2
Rwanda,2016.636,2
Rwanda,1997.854,2
Rwanda,2106.744,2
Rwanda,2138.882,2
Rwanda,2119.288,2
Rwanda,650.818,2
Rwanda,674.03,2
Rwanda,654.98,2
Rwanda,654.298,2
Rwanda,649.488,2
Rwanda,646.134,2
Rwanda,683.38,2
Rwanda,645.728,2
Rwanda,683.826,2
Rwanda,650.278,2
Rwanda,1704.578,2
Rwanda,1586.792,2
Rwanda,1667.332,2
Rwanda,1670.742,2
Rwanda,1667.156,2
Rwanda,1594.674,2
Rwanda,1616.786,2
Rwanda,1534.384,2
Rwanda,1540.208,2
Rwanda,1652.59,2
Rwanda,3700.344,2
Rwanda,3581.748,2
Rwanda,3641.394,2
Rwanda,3729.38,2
Rwanda,3442.302,2
Rwanda,3529.254,2
Rwanda,3885.3,2
Rwanda,3710.938,2
Rwanda,3644.932,2
Rwanda,3704.746,2
Guatemala,3878.912,3
Guatemala,3825.612,3
Guatemala,3884.636,3
Guatemala,3916.352,3
Guatemala,3986.956,3
Guatemala,3685.848,3
Guatemala,3875.344,3
Guatemala,3823.356,3
Guatemala,3734.18,3
Guatemala,3820.8,3
Guatemala,2199.142,3
Guatemala,2000.598,3
Guatemala,2113.76,3
Guatemala,2096.584,3
Guatemala,2112.534,3
Guatemala,2082.096,3
Guatemala,2023.952,3
Guatemala,2054.91,3
Guatemala,2114.806,3
Guatemala,2081.026,3
Guatemala,1414.076,3
Guatemala,1323.938,3
Guatemala,1376.36,3
Guatemala,1284.57,3
Guatemala,1428.074,3
Guatemala,1291.832,3
Guatemala,1347.334,3
Guatemala,1419.73,3
Guatemala,1333.14,3
Guatemala,1478.964,3
Guatemala,3126.538,3
Guatemala,3089.748,3
Guatemala,3142.626,3
Guatemala,3074.77,3
Guatemala,3080.364,3
Guatemala,3050.388,3
Guatemala,3041.896,3
Guatemala,3083.908,3
Guatemala,3080.15,3
Guatemala,3104.044,3
Guatemala,4355.782,3
Guatemala,4260.736,3
Guatemala,4264.164,3
Guatemala,4273.836,3
Guatemala,4224.478,3
Guatemala,4208.812,3
Guatemala,4216.34,3
Guatemala,4218.354,3
Guatemala,4194.232,3
Guatemala,4210.746,3
Guatemala,465.524,3
Guatemala,648.52,3
Guatemala,598.858,3
Guatemala,542.518,3
Guatemala,475.728,3
Guatemala,525.5,3
Guatemala,469.934,3
Guatemala,662.416,3
Guatemala,742.604,3
Guatemala,424.366,3
Guatemala,1218.134,3
Guatemala,1184.65,3
Guatemala,1204.124,3
Guatemala,1238.82,3
Guatemala,1254.156,3
Guatemala,1216.74,3
Guatemala,1284.976,3
Guatemala,1229.196,3
Guatemala,1246.694,3
Guatemala,1274.608,3
Guatemala,2528.332,3
Guatemala,2498.2,3
Guatemala,2491.6,3
Guatemala,2482.434,3
Guatemala,2525.946,3
Guatemala,2447.706,3
Guatemala,2470.624,3
Guatemala,2466.692,3
Guatemala,2497.438,3
Guatemala,2479.276,3
Guatemala,863.028,3
Guatemala,756.934,3
Guatemala,802.342,3
Guatemala,808.266,3
Guatemala,801.764,3
Guatemala,770.978,3
Guatemala,781.624,3
Guatemala,793.66,3
Guatemala,786.656,3
Guatemala,806.966,3
Guatemala,7100.544,3
Guatemala,7030.962,3
Guatemala,7076.772,3
Guatemala,6983.224,3
Guatemala,6994.022,3
Guatemala,6896.99,3
Guatemala,6816.22,3
Guatemala,6876.418,3
Guatemala,6663.664,3
Guatemala,6751.998,3
Guatemala,1159.716,3
Guatemala,1135.034,3
Guatemala,1123.262,3
Guatemala,1149.714,3
Guatemala,1122.756,3
Guatemala,1138.028,3
Guatemala,1141.972,3
Guatemala,1131.576,3
Guatemala,1121.5,3
Guatemala,1146.454,3
Guatemala,3223.004,3
Guatemala,3162.294,3
Guatemala,3091.43,3
Guatemala,3087.48,3
Guatemala,3090.852,3
Guatemala,3078.518,3
Guatemala,3122.412,3
Guatemala,3119.834,3
Guatemala,3077.896,3
Guatemala,3082.01,3
